Key;Updated;Created;Name;Arbeitsplatz;Kassentyp;NL Number;Betriebsstelle;Hostname;IP-Adresse;Modell;Seriennummer;Betriebssystem;Prozessor;Installationsdatum;Lifecycle Status;1st-Level-Service-Unit;2nd-Level-Service-Unit;External-Service-Provider;Kommentar;SCO/Bargeldabwicklung
CIOS-233677;2023-06-29T10:25:32.410Z;2023-06-20T17:24:09.364Z;PC - Kasse 03 - DE0648CPOS20003;CIOS-215226;CIOS-209249;CIOS-63775;CIOS-209257;DE0648CPOS20003;10.250.95.103;CIOS-209269;SN - PC - Kasse 03 - DE0648CPOS20003;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233678;2024-02-12T12:31:35.172Z;2023-06-20T17:24:09.409Z;PC - Kasse 03 - DE0649CPOS20003;CIOS-215226;CIOS-209249;CIOS-63964;CIOS-209257;DE0649CPOS20003;10.250.98.103;CIOS-209269;SN - PC - Kasse 03 - DE0649CPOS20003;CIOS-209262;;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233679;2023-11-13T15:42:46.174Z;2023-06-20T17:24:09.414Z;PC - Kasse 03 - DE0650CPOS20003;CIOS-215226;CIOS-209249;CIOS-63929;CIOS-209257;DE0650CPOS20003;10.253.124.103;CIOS-209267;8CN3410DWK;CIOS-209262;CIOS-209274;13.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233680;2023-11-08T07:40:53.089Z;2023-06-20T17:24:09.460Z;PC - Kasse 03 - DE0651CPOS20003;CIOS-215226;CIOS-209249;CIOS-63877;CIOS-209257;DE0651CPOS20003;10.250.110.103;CIOS-209267;8CN33806Z1;CIOS-209262;CIOS-209274;02.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233681;2023-11-03T14:24:17.902Z;2023-06-20T17:24:09.465Z;PC - Kasse 03 - DE0652CPOS20003;CIOS-215226;CIOS-209249;CIOS-63822;CIOS-209257;DE0652CPOS20003;10.250.99.103;CIOS-209269;SN - PC - Kasse 03 - DE0652CPOS20003;CIOS-209262;;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233682;2023-11-27T07:55:36.934Z;2023-06-20T17:24:09.510Z;PC - Kasse 03 - DE0654CPOS20003;CIOS-215226;CIOS-209249;CIOS-63835;CIOS-209257;DE0654CPOS20003;10.250.111.103;CIOS-209267;8CN3410F2L;CIOS-209262;CIOS-209274;20.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233683;2024-02-13T07:51:53.271Z;2023-06-20T17:24:09.516Z;PC - Kasse 03 - DE0656CPOS20003;CIOS-215226;CIOS-209249;CIOS-63770;CIOS-209257;DE0656CPOS20003;10.250.102.103;CIOS-209269;SN - PC - Kasse 03 - DE0656CPOS20003;CIOS-209262;;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233684;2023-11-14T13:17:28.700Z;2023-06-20T17:24:09.563Z;PC - Kasse 03 - DE0657CPOS20003;CIOS-215226;CIOS-209249;CIOS-63777;CIOS-209257;DE0657CPOS20003;10.250.145.103;CIOS-209267;8CN3360G0C;CIOS-209262;CIOS-209274;25.10.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233685;2023-06-29T10:25:32.590Z;2023-06-20T17:24:09.568Z;PC - Kasse 03 - DE0658CPOS20003;CIOS-215226;CIOS-209249;CIOS-63859;CIOS-209257;DE0658CPOS20003;10.250.105.103;CIOS-209269;SN - PC - Kasse 03 - DE0658CPOS20003;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233686;2023-06-29T10:25:32.595Z;2023-06-20T17:24:09.614Z;PC - Kasse 03 - DE0659CPOS20003;CIOS-215226;CIOS-209249;CIOS-63847;CIOS-209257;DE0659CPOS20003;10.250.107.103;CIOS-209269;SN - PC - Kasse 03 - DE0659CPOS20003;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233687;2023-06-29T10:25:32.631Z;2023-06-20T17:24:09.619Z;PC - Kasse 03 - DE0661CPOS20003;CIOS-215226;CIOS-209249;CIOS-63923;CIOS-209257;DE0661CPOS20003;10.250.106.103;CIOS-209269;SN - PC - Kasse 03 - DE0661CPOS20003;CIOS-209262;CIOS-209274;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233688;2024-01-11T13:16:55.972Z;2023-06-20T17:24:09.666Z;PC - Kasse 03 - DE0662CPOS20003;CIOS-215226;CIOS-209249;CIOS-63797;CIOS-209257;DE0662CPOS20003;10.250.113.103;CIOS-209267;8CN34609YZ;CIOS-209262;CIOS-209274;10.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233689;2023-06-29T10:25:32.638Z;2023-06-20T17:24:09.670Z;PC - Kasse 03 - DE0663CPOS20003;CIOS-215226;CIOS-209249;CIOS-63832;CIOS-209257;DE0663CPOS20003;10.250.114.103;CIOS-209269;SN - PC - Kasse 03 - DE0663CPOS20003;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233690;2024-02-14T07:27:47.937Z;2023-06-20T17:24:09.718Z;PC - Kasse 03 - DE0664CPOS20003;CIOS-215226;CIOS-209249;CIOS-63838;CIOS-209257;DE0664CPOS20003;10.250.115.103;CIOS-209267;8CN35002QX;CIOS-209262;;13.02.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233691;2024-02-20T15:05:09.693Z;2023-06-20T17:24:09.721Z;PC - Kasse 03 - DE0665CPOS20003;CIOS-215226;CIOS-209249;CIOS-63866;CIOS-209257;DE0665CPOS20003;10.250.117.103;CIOS-209269;SN - PC - Kasse 03 - DE0665CPOS20003;CIOS-209262;;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233692;2024-01-18T09:10:43.037Z;2023-06-20T17:24:09.769Z;PC - Kasse 03 - DE0666CPOS20003;CIOS-215226;CIOS-209249;CIOS-63894;CIOS-209257;DE0666CPOS20003;10.250.118.103;CIOS-209267;SN - PC - Kasse 03 - DE0666CPOS20003;CIOS-209262;CIOS-209274;18.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233693;2024-02-21T13:46:54.755Z;2023-06-20T17:24:09.771Z;PC - Kasse 03 - DE0667CPOS20003;CIOS-215226;CIOS-209249;CIOS-63953;CIOS-209257;DE0667CPOS20003;10.250.119.103;CIOS-209269;SN - PC - Kasse 03 - DE0667CPOS20003;CIOS-209262;CIOS-209274;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233694;2024-01-18T15:21:46.999Z;2023-06-20T17:24:09.818Z;PC - Kasse 03 - DE0668CPOS20003;CIOS-215226;CIOS-209249;CIOS-63962;CIOS-209257;DE0668CPOS20003;10.250.121.103;CIOS-209267;8CN3500368;CIOS-209262;CIOS-209274;16.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233695;2024-01-12T12:49:28.676Z;2023-06-20T17:24:09.821Z;PC - Kasse 03 - DE0669CPOS20003;CIOS-215226;CIOS-209249;CIOS-63818;CIOS-209257;DE0669CPOS20003;10.250.122.103;CIOS-209269;SN - PC - Kasse 03 - DE0669CPOS20003;CIOS-209262;CIOS-209274;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233696;2024-02-02T10:18:02.025Z;2023-06-20T17:24:09.868Z;PC - Kasse 03 - DE0812CPOS20003;CIOS-215226;CIOS-209249;CIOS-63761;CIOS-209257;DE0812CPOS20003;10.250.88.103;CIOS-209267;SN - PC - Kasse 03 - DE0812CPOS20003;CIOS-209262;CIOS-209274;02.02.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233697;2024-01-12T12:26:31.025Z;2023-06-20T17:24:09.872Z;PC - Kasse 03 - DE0814CPOS20003;CIOS-215226;CIOS-209249;CIOS-63764;CIOS-209257;DE0814CPOS20003;10.250.48.103;CIOS-209267;SN - PC - Kasse 03 - DE0814CPOS20003;CIOS-209262;CIOS-209274;10.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233698;2024-02-01T12:00:44.194Z;2023-06-20T17:24:09.918Z;PC - Kasse 03 - DE0850CPOS20003;CIOS-215226;CIOS-209249;CIOS-63771;CIOS-209257;DE0850CPOS20003;10.250.84.103;CIOS-209267;SN - PC - Kasse 03 - DE0850CPOS20003;CIOS-209262;CIOS-209274;01.02.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233699;2023-06-29T10:25:32.882Z;2023-06-20T17:24:09.925Z;PC - Kasse 03 - DE0851CPOS20003;CIOS-215226;CIOS-209249;CIOS-63839;CIOS-209257;DE0851CPOS20003;10.250.123.103;CIOS-209269;SN - PC - Kasse 03 - DE0851CPOS20003;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233700;2024-01-03T11:13:31.167Z;2023-06-20T17:24:09.970Z;PC - Kasse 03 - DE0852CPOS20003;CIOS-215226;CIOS-209249;CIOS-63857;CIOS-209257;DE0852CPOS20003;10.250.125.103;CIOS-209267;8CN34609Z2;CIOS-209262;CIOS-209274;03.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233701;2024-01-23T13:11:23.920Z;2023-06-20T17:24:09.977Z;PC - Kasse 03 - DE0853CPOS20003;CIOS-215226;CIOS-209249;CIOS-63861;CIOS-209257;DE0853CPOS20003;10.250.126.103;CIOS-209267;SN - PC - Kasse 03 - DE0853CPOS20003;CIOS-209262;CIOS-209274;23.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233702;2024-01-25T13:31:52.729Z;2023-06-20T17:24:10.024Z;PC - Kasse 03 - DE0854CPOS20003;CIOS-215226;CIOS-209249;CIOS-63901;CIOS-209257;DE0854CPOS20003;10.250.127.103;CIOS-209267;8CN3140KXF;CIOS-209262;CIOS-209274;22.06.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233703;2024-02-05T11:12:24.250Z;2023-06-20T17:24:10.036Z;PC - Kasse 03 - DE0855CPOS20003;CIOS-215226;CIOS-209249;CIOS-63792;CIOS-209257;DE0855CPOS20003;10.250.129.103;CIOS-209267;8CN34607G5;CIOS-209262;CIOS-209274;11.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233704;2024-01-16T15:05:49.658Z;2023-06-20T17:24:10.080Z;PC - Kasse 03 - DE0856CPOS20003;CIOS-215226;CIOS-209249;CIOS-63846;CIOS-209257;DE0856CPOS20003;10.250.130.103;CIOS-209267;8CN3460J0C;CIOS-209262;CIOS-209274;16.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233705;2023-11-20T16:05:43.878Z;2023-06-20T17:24:10.090Z;PC - Kasse 03 - DE0857CPOS20003;CIOS-215226;CIOS-209249;CIOS-63865;CIOS-209257;DE0857CPOS20003;10.250.131.103;CIOS-209267;8CN3410DP8;CIOS-209262;CIOS-209274;20.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233706;2024-02-01T08:11:51.597Z;2023-06-20T17:24:10.133Z;PC - Kasse 03 - DE0858CPOS20003;CIOS-215226;CIOS-209249;CIOS-63834;CIOS-209257;DE0858CPOS20003;10.250.133.103;CIOS-209267;8CN3460B1X;CIOS-209262;CIOS-209274;19.12.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233707;2023-10-18T14:46:04.676Z;2023-06-20T17:24:10.142Z;PC - Kasse 03 - DE0859CPOS20003;CIOS-215226;CIOS-209249;CIOS-63934;CIOS-209257;DE0859CPOS20003;10.250.134.103;CIOS-209267;8CN3360GFC;CIOS-209262;CIOS-209274;17.10.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
